                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5159,                  3.729,                 1.7191,                 1.3103,                 0.4778,                0.34494,                0.33764,                 0.2033,                0.40352,                0.28598,                0.26011,                 0.1295,                 1.5222,                 3.5034,                 1.3022,                 1.2284,               0.070081,              0.0033243,              0.0033243
                      1,                 1.3953,                 3.3531,                 1.1826,                 1.2349,                0.48741,                0.35143,                0.36517,                0.21826,                 0.4207,                0.28488,                 0.2742,                0.13751,                  1.523,                 3.4226,                 1.2272,                  1.224,               0.040068,              0.0066445,              0.0066445
                      2,                 1.4135,                 3.3167,                 1.1618,                 1.2405,                0.53851,                0.33636,                0.36816,                0.21897,                0.50626,                0.28306,                0.29242,                0.14701,                 1.5563,                 3.4076,                 1.2807,                 1.2277,               0.010042,              0.0099514,              0.0099514
                      3,                 1.4271,                 3.2926,                 1.1535,                 1.2445,                0.52203,                0.37222,                0.38218,                0.23034,                0.47303,                0.32137,                0.31328,                0.15759,                 1.5359,                 3.3883,                 1.1941,                 1.2205,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.4174,                 3.2527,                 1.1299,                 1.2429,                0.50337,                0.38214,                0.38281,                0.22694,                 0.4455,                0.31685,                0.30466,                0.15154,                 1.5263,                 3.4049,                 1.1928,                 1.2301,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4039,                 3.2305,                 1.1127,                 1.2394,                0.50638,                0.39972,                0.39194,                0.23203,                0.44596,                0.33015,                0.31073,                0.15127,                 1.5026,                 3.3621,                 1.1733,                 1.2108,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3919,                 3.1949,                 1.0972,                 1.2317,                0.56283,                0.37119,                0.39614,                0.23446,                0.48722,                0.31266,                0.30573,                0.15199,                 1.5193,                 3.3626,                 1.1864,                 1.2323,               0.009901,               0.009901,               0.009901
                      7,                 1.3817,                 3.1706,                 1.0845,                 1.2289,                0.55399,                0.39272,                0.41467,                0.24587,                0.49822,                0.32094,                0.32292,                0.15774,                 1.4963,                 3.2856,                 1.1518,                 1.2161,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3716,                 3.1498,                  1.071,                 1.2246,                0.55731,                0.38459,                0.41032,                0.24734,                0.49439,                0.32341,                0.32276,                0.16073,                 1.4951,                 3.3203,                 1.1508,                  1.203,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3701,                 3.1405,                 1.0673,                 1.2189,                0.57833,                 0.3859,                 0.4213,                0.25467,                0.50242,                0.32192,                0.32714,                0.16362,                 1.4711,                  3.267,                 1.1308,                 1.1954,              0.0098416,              0.0098416,              0.0098416
